[2025-10-10T01:21:23.997970+02:00] name.INFO: My logger is now ready [] []
[2025-10-10T01:21:25.857917+02:00] name.INFO: My logger is now ready [] []
[2025-10-10T01:22:46.171733+02:00] home.INFO: My logger is now ready [] []
[2025-10-10T01:23:41.438091+02:00] Controllerh Home.INFO: My logger is now ready [] []
[2025-10-10T01:24:13.745396+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:24:58.329896+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:38.226438+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:44.005811+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:44.291826+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:44.418024+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:44.566672+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:29:44.894001+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:31:03.808500+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T01:31:03.809410+02:00] Home.WARNING: ssss [] []
[2025-10-10T02:04:12.486633+02:00] Home.INFO: My logger is now ready [] []
[2025-10-10T02:04:53.299946+02:00] Home.INFO: My logger is now ready  3333 [] []
[2025-10-10T02:07:30.412824+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:07:31.878742+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:08:32.214475+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:17.447822+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:26.258832+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:27.184892+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:27.317597+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:27.466147+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:27.615365+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:35.286401+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:11:36.786676+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:14.318912+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:35.776485+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:36.366447+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:46.219945+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:46.978575+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:47.128248+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:47.271843+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:47.429086+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:47.543464+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:55.524261+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:55.914551+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:31:56.061456+02:00] Home.INFO: My logger is now ready  434334 [] []
[2025-10-10T02:32:09.916473+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:32:10.057397+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:32:10.206520+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:33:30.238585+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:33:57.173519+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:38:27.808337+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:38:39.419520+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:13.892267+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:15.756972+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:24.249023+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:25.446100+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:25.592604+02:00] Home.INFO: My logger is now ready  77777 [] []
[2025-10-10T02:41:32.000824+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:41:32.125606+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:41:32.279789+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:14.071028+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:14.380117+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:14.537088+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:45.433446+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:45.876166+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:42:46.041315+02:00] Home.INFO: My logger is now ready  8888 [] []
[2025-10-10T02:46:25.955370+02:00] Home.INFO: My logger is now ready  9999 [] []
[2025-10-10T02:46:25.957437+02:00] Home.INFO: My logger is now ready  10000 [] []
